data_vencimento,preço,data_preco
2015-02-01,0.11938,dez_anos_atras
2015-03-01,0.12022000000000001,dez_anos_atras
2015-04-01,0.12239000000000001,dez_anos_atras
2015-05-01,0.1232,dez_anos_atras
2015-07-01,0.1247,dez_anos_atras
2015-10-01,0.1267,dez_anos_atras
2016-01-01,0.1268,dez_anos_atras
2016-04-01,0.1267,dez_anos_atras
2016-07-01,0.1258,dez_anos_atras
2016-10-01,0.1255,dez_anos_atras
2017-01-01,0.1241,dez_anos_atras
2017-04-01,0.12369999999999999,dez_anos_atras
2017-07-01,0.12359999999999999,dez_anos_atras
2017-10-01,0.1231,dez_anos_atras
2018-01-01,0.1226,dez_anos_atras
2018-04-01,0.12279999999999999,dez_anos_atras
2018-07-01,0.12300000000000001,dez_anos_atras
2018-10-01,0.1225,dez_anos_atras
2019-01-01,0.12240000000000001,dez_anos_atras
2019-07-01,0.12210000000000001,dez_anos_atras
2020-01-01,0.12210000000000001,dez_anos_atras
2020-07-01,0.1213,dez_anos_atras
2021-01-01,0.1206,dez_anos_atras
2022-01-01,0.12029999999999999,dez_anos_atras
2023-01-01,0.1207,dez_anos_atras
2024-01-01,0.1197,dez_anos_atras
2025-01-01,0.12,dez_anos_atras
